branch,step_index,method_key,input_shape,output_shape,params,zero_time_shift_samples,zero_time_shift_ns,roi_before,roi_after,roi_before_energy,roi_after_energy,roi_energy_ratio,global_energy_before,global_energy_after,global_energy_ratio,target_band_fidelity,edge_preservation,local_saliency_preservation,sanity_warnings,branch_invalid_reason,preview_png,roi_overlay_png,roi_crop_png
"""expert_manual""",1,"""set_zero_time""","[2037, 90]","[2037, 90]","{""new_zero_time"": 0.0}",0,0.0,"{""time_start_idx"": 760, ""time_end_idx"": 883, ""dist_start_idx"": 38, ""dist_end_idx"": 51}","{""time_start_idx"": 760, ""time_end_idx"": 883, ""dist_start_idx"": 38, ""dist_end_idx"": 51}",977.6275159727811,977.6275159727811,1.0,18483.34775358647,18483.34775358647,1.0,1.0,1.0,1.0,[],"""""","""expert_manual_step_01_set_zero_time_roi_overlay.png""","""expert_manual_step_01_set_zero_time_roi_overlay.png""","""expert_manual_step_01_set_zero_time_roi_crop.png"""
"""expert_manual""",2,"""dewow""","[2037, 90]","[2037, 90]","{""window"": 23}",0,0.0,"{""time_start_idx"": 760, ""time_end_idx"": 883, ""dist_start_idx"": 38, ""dist_end_idx"": 51}","{""time_start_idx"": 760, ""time_end_idx"": 883, ""dist_start_idx"": 38, ""dist_end_idx"": 51}",977.6275159727811,3.622544060588933,0.003705444048374955,18483.34775358647,73.15883709343139,0.003958094500453025,0.14879986498285852,0.07633552588263959,0.07202283026201194,"[""zero-time/effective signal energy nearly disappeared"", ""target_band_fidelity is very low"", ""local_saliency_preservation collapsed"", ""edge_preservation collapsed""]","""zero-time/effective signal energy nearly disappeared""","""expert_manual_step_02_dewow_roi_overlay.png""","""expert_manual_step_02_dewow_roi_overlay.png""","""expert_manual_step_02_dewow_roi_crop.png"""
"""expert_manual""",3,"""frequency_filter_1d""","[2037, 90]","[2037, 90]","{""filter_type"": ""bandpass"", ""low_freq_mhz"": 300.0, ""high_freq_mhz"": 2500.0, ""taper_ratio"": 0.08}",0,0.0,"{""time_start_idx"": 760, ""time_end_idx"": 883, ""dist_start_idx"": 38, ""dist_end_idx"": 51}","{""time_start_idx"": 760, ""time_end_idx"": 883, ""dist_start_idx"": 38, ""dist_end_idx"": 51}",3.622544060588933,3.5703281289158877,0.985585839454343,73.15883709343139,72.69510498658005,0.9936612974553012,4.778909103360691e-05,1.0085999940072288,1.0026541630714085,"[""target_band_fidelity is very low""]","""zero-time/effective signal energy nearly disappeared""","""expert_manual_step_03_frequency_filter_1d_roi_overlay.png""","""expert_manual_step_03_frequency_filter_1d_roi_overlay.png""","""expert_manual_step_03_frequency_filter_1d_roi_crop.png"""
"""expert_manual""",4,"""subtracting_average_2D""","[2037, 90]","[2037, 90]","{""ntraces"": 41}",0,0.0,"{""time_start_idx"": 760, ""time_end_idx"": 883, ""dist_start_idx"": 38, ""dist_end_idx"": 51}","{""time_start_idx"": 760, ""time_end_idx"": 883, ""dist_start_idx"": 38, ""dist_end_idx"": 51}",3.5703281289158877,1.2905457034601795,0.361464172720743,72.69510498658005,0.06901686472570698,0.0009494018165108628,0.8813893057780726,0.11166351418842443,0.06128834225893272,"[""zero-time/effective signal energy nearly disappeared"", ""local_saliency_preservation collapsed"", ""edge_preservation collapsed""]","""zero-time/effective signal energy nearly disappeared""","""expert_manual_step_04_subtracting_average_2D_roi_overlay.png""","""expert_manual_step_04_subtracting_average_2D_roi_overlay.png""","""expert_manual_step_04_subtracting_average_2D_roi_crop.png"""
"""expert_manual""",5,"""energy_decay_gain""","[2037, 90]","[2037, 90]","{""strength"": 0.8, ""smoothing_samples"": 31, ""min_gain"": 0.6, ""max_gain"": 5.0, ""floor_ratio"": 0.05}",0,0.0,"{""time_start_idx"": 760, ""time_end_idx"": 883, ""dist_start_idx"": 38, ""dist_end_idx"": 51}","{""time_start_idx"": 760, ""time_end_idx"": 883, ""dist_start_idx"": 38, ""dist_end_idx"": 51}",1.2905457034601795,0.4645964894843294,0.3600000280801096,0.06901686472570698,0.027798585685056335,0.402779607499355,1259041.4768585183,0.9227064115688086,0.6814440204525853,[],"""zero-time/effective signal energy nearly disappeared""","""expert_manual_step_05_energy_decay_gain_roi_overlay.png""","""expert_manual_step_05_energy_decay_gain_roi_overlay.png""","""expert_manual_step_05_energy_decay_gain_roi_crop.png"""
"""safe_default""",1,"""set_zero_time""","[2037, 90]","[2037, 90]",{},423,4.988553922225582,"{""time_start_idx"": 760, ""time_end_idx"": 883, ""dist_start_idx"": 38, ""dist_end_idx"": 51}","{""time_start_idx"": 337, ""time_end_idx"": 460, ""dist_start_idx"": 38, ""dist_end_idx"": 51}",977.6275159727811,977.6275159727811,1.0,18483.34775358647,41.375759916498,0.002238542523145978,11782774.676874274,0.12981659966236092,0.0389099460427634,"[""zero-time/effective signal energy nearly disappeared"", ""local_saliency_preservation collapsed"", ""edge_preservation collapsed""]","""zero-time/effective signal energy nearly disappeared""","""safe_default_step_01_set_zero_time_roi_overlay.png""","""safe_default_step_01_set_zero_time_roi_overlay.png""","""safe_default_step_01_set_zero_time_roi_crop.png"""
"""safe_default""",2,"""dewow""","[2037, 90]","[2037, 90]",{},0,0.0,"{""time_start_idx"": 337, ""time_end_idx"": 460, ""dist_start_idx"": 38, ""dist_end_idx"": 51}","{""time_start_idx"": 337, ""time_end_idx"": 460, ""dist_start_idx"": 38, ""dist_end_idx"": 51}",977.6275159727811,3.622544060588933,0.003705444048374955,41.375759916498,0.6142573864914588,0.014845827308818378,0.5327220311551191,0.13170399167609984,0.13395949369873023,"[""zero-time/effective signal energy nearly disappeared"", ""local_saliency_preservation collapsed"", ""edge_preservation collapsed""]","""zero-time/effective signal energy nearly disappeared""","""safe_default_step_02_dewow_roi_overlay.png""","""safe_default_step_02_dewow_roi_overlay.png""","""safe_default_step_02_dewow_roi_crop.png"""
"""safe_default""",3,"""frequency_filter_1d""","[2037, 90]","[2037, 90]",{},0,0.0,"{""time_start_idx"": 337, ""time_end_idx"": 460, ""dist_start_idx"": 38, ""dist_end_idx"": 51}","{""time_start_idx"": 337, ""time_end_idx"": 460, ""dist_start_idx"": 38, ""dist_end_idx"": 51}",3.622544060588933,1.2108642401215173,0.33425797447020195,0.6142573864914588,0.0756985645661516,0.12323590441220389,8.642537285186307e-16,0.4119046283458834,0.2811701274364983,"[""target_band_fidelity is very low""]","""zero-time/effective signal energy nearly disappeared""","""safe_default_step_03_frequency_filter_1d_roi_overlay.png""","""safe_default_step_03_frequency_filter_1d_roi_overlay.png""","""safe_default_step_03_frequency_filter_1d_roi_crop.png"""
"""safe_default""",4,"""subtracting_average_2D""","[2037, 90]","[2037, 90]",{},0,0.0,"{""time_start_idx"": 337, ""time_end_idx"": 460, ""dist_start_idx"": 38, ""dist_end_idx"": 51}","{""time_start_idx"": 337, ""time_end_idx"": 460, ""dist_start_idx"": 38, ""dist_end_idx"": 51}",1.2108642401215173,0.7863798888081145,0.6494368755403964,0.0756985645661516,0.04971540196829591,0.6567548837052323,1.0057534036175566,0.9003215736184169,0.9558480644630792,[],"""zero-time/effective signal energy nearly disappeared""","""safe_default_step_04_subtracting_average_2D_roi_overlay.png""","""safe_default_step_04_subtracting_average_2D_roi_overlay.png""","""safe_default_step_04_subtracting_average_2D_roi_crop.png"""
"""safe_default""",5,"""energy_decay_gain""","[2037, 90]","[2037, 90]",{},0,0.0,"{""time_start_idx"": 337, ""time_end_idx"": 460, ""dist_start_idx"": 38, ""dist_end_idx"": 51}","{""time_start_idx"": 337, ""time_end_idx"": 460, ""dist_start_idx"": 38, ""dist_end_idx"": 51}",0.7863798888081145,0.19659497220202862,0.25,0.04971540196829591,0.024388030098306857,0.49055280924529965,10373887161.290806,1.2625003185867998,0.6354239807111624,[],"""zero-time/effective signal energy nearly disappeared""","""safe_default_step_05_energy_decay_gain_roi_overlay.png""","""safe_default_step_05_energy_decay_gain_roi_overlay.png""","""safe_default_step_05_energy_decay_gain_roi_crop.png"""
"""auto_tuned""",1,"""set_zero_time""","[2037, 90]","[2037, 90]","{""new_zero_time"": 0.01179327168374842}",1,0.01179327168374842,"{""time_start_idx"": 760, ""time_end_idx"": 883, ""dist_start_idx"": 38, ""dist_end_idx"": 51}","{""time_start_idx"": 759, ""time_end_idx"": 882, ""dist_start_idx"": 38, ""dist_end_idx"": 51}",977.6275159727811,977.6275159727811,1.0,18483.34775358647,18483.347753586473,1.0000000000000002,1.000000000000254,1.0000015499834107,0.9983258238759133,[],"""""","""auto_tuned_step_01_set_zero_time_roi_overlay.png""","""auto_tuned_step_01_set_zero_time_roi_overlay.png""","""auto_tuned_step_01_set_zero_time_roi_crop.png"""
"""auto_tuned""",2,"""dewow""","[2037, 90]","[2037, 90]","{""window"": 18, ""_low_energy_guard"": true}",0,0.0,"{""time_start_idx"": 759, ""time_end_idx"": 882, ""dist_start_idx"": 38, ""dist_end_idx"": 51}","{""time_start_idx"": 759, ""time_end_idx"": 882, ""dist_start_idx"": 38, ""dist_end_idx"": 51}",977.6275159727811,1.2343340300329337,0.001262581105652206,18483.347753586473,24.89209839399065,0.0013467310535863633,0.4924597794940615,0.04459553891057894,0.04203729526041794,"[""zero-time/effective signal energy nearly disappeared"", ""local_saliency_preservation collapsed"", ""edge_preservation collapsed""]","""zero-time/effective signal energy nearly disappeared""","""auto_tuned_step_02_dewow_roi_overlay.png""","""auto_tuned_step_02_dewow_roi_overlay.png""","""auto_tuned_step_02_dewow_roi_crop.png"""
"""auto_tuned""",3,"""frequency_filter_1d""","[2037, 90]","[2037, 90]","{""filter_type"": ""bandpass"", ""low_freq_mhz"": 5.0, ""high_freq_mhz"": 2500.0, ""taper_ratio"": 0.12}",0,0.0,"{""time_start_idx"": 759, ""time_end_idx"": 882, ""dist_start_idx"": 38, ""dist_end_idx"": 51}","{""time_start_idx"": 759, ""time_end_idx"": 882, ""dist_start_idx"": 38, ""dist_end_idx"": 51}",1.2343340300329337,1.2337155584903994,0.9994989431325021,24.89209839399065,24.891838023101414,0.9999895400184783,4.498694894616741e-06,0.9990271026364533,1.000001157983746,"[""target_band_fidelity is very low""]","""zero-time/effective signal energy nearly disappeared""","""auto_tuned_step_03_frequency_filter_1d_roi_overlay.png""","""auto_tuned_step_03_frequency_filter_1d_roi_overlay.png""","""auto_tuned_step_03_frequency_filter_1d_roi_crop.png"""
"""auto_tuned""",4,"""subtracting_average_2D""","[2037, 90]","[2037, 90]","{""ntraces"": 57}",0,0.0,"{""time_start_idx"": 759, ""time_end_idx"": 882, ""dist_start_idx"": 38, ""dist_end_idx"": 51}","{""time_start_idx"": 759, ""time_end_idx"": 882, ""dist_start_idx"": 38, ""dist_end_idx"": 51}",1.2337155584903994,0.6864054301223382,0.5563725166619756,24.891838023101414,0.02490555366225715,0.00100055100949729,0.8759636526953641,0.11346559187377048,0.06688411546035833,"[""zero-time/effective signal energy nearly disappeared"", ""local_saliency_preservation collapsed"", ""edge_preservation collapsed""]","""zero-time/effective signal energy nearly disappeared""","""auto_tuned_step_04_subtracting_average_2D_roi_overlay.png""","""auto_tuned_step_04_subtracting_average_2D_roi_overlay.png""","""auto_tuned_step_04_subtracting_average_2D_roi_crop.png"""
"""auto_tuned""",5,"""energy_decay_gain""","[2037, 90]","[2037, 90]","{""strength"": 1.2, ""smoothing_samples"": 15, ""min_gain"": 0.6, ""max_gain"": 12.0, ""floor_ratio"": 0.05}",0,0.0,"{""time_start_idx"": 759, ""time_end_idx"": 882, ""dist_start_idx"": 38, ""dist_end_idx"": 51}","{""time_start_idx"": 759, ""time_end_idx"": 882, ""dist_start_idx"": 38, ""dist_end_idx"": 51}",0.6864054301223382,0.24778358624326716,0.3609872174220775,0.02490555366225715,0.014029561378343004,0.5633105599095334,70037228.76196232,1.347474937476309,0.7826288019823546,[],"""zero-time/effective signal energy nearly disappeared""","""auto_tuned_step_05_energy_decay_gain_roi_overlay.png""","""auto_tuned_step_05_energy_decay_gain_roi_overlay.png""","""auto_tuned_step_05_energy_decay_gain_roi_crop.png"""
"""only_dewow_auto_tuned""",1,"""set_zero_time""","[2037, 90]","[2037, 90]","{""new_zero_time"": 0.0}",0,0.0,"{""time_start_idx"": 760, ""time_end_idx"": 883, ""dist_start_idx"": 38, ""dist_end_idx"": 51}","{""time_start_idx"": 760, ""time_end_idx"": 883, ""dist_start_idx"": 38, ""dist_end_idx"": 51}",977.6275159727811,977.6275159727811,1.0,18483.34775358647,18483.34775358647,1.0,1.0,1.0,1.0,[],"""""","""only_dewow_auto_tuned_step_01_set_zero_time_roi_overlay.png""","""only_dewow_auto_tuned_step_01_set_zero_time_roi_overlay.png""","""only_dewow_auto_tuned_step_01_set_zero_time_roi_crop.png"""
"""only_dewow_auto_tuned""",2,"""dewow""","[2037, 90]","[2037, 90]","{""window"": 14, ""_low_energy_guard"": true}",0,0.0,"{""time_start_idx"": 760, ""time_end_idx"": 883, ""dist_start_idx"": 38, ""dist_end_idx"": 51}","{""time_start_idx"": 760, ""time_end_idx"": 883, ""dist_start_idx"": 38, ""dist_end_idx"": 51}",977.6275159727811,0.4837062228508899,0.0004947755816483761,18483.34775358647,9.747391004700669,0.0005273606889103358,0.060670181875832986,0.027942710640888938,0.026314034536658693,"[""zero-time/effective signal energy nearly disappeared"", ""target_band_fidelity is very low"", ""local_saliency_preservation collapsed"", ""edge_preservation collapsed""]","""zero-time/effective signal energy nearly disappeared""","""only_dewow_auto_tuned_step_02_dewow_roi_overlay.png""","""only_dewow_auto_tuned_step_02_dewow_roi_overlay.png""","""only_dewow_auto_tuned_step_02_dewow_roi_crop.png"""
"""only_dewow_auto_tuned""",3,"""frequency_filter_1d""","[2037, 90]","[2037, 90]","{""filter_type"": ""bandpass"", ""low_freq_mhz"": 300.0, ""high_freq_mhz"": 2500.0, ""taper_ratio"": 0.08}",0,0.0,"{""time_start_idx"": 760, ""time_end_idx"": 883, ""dist_start_idx"": 38, ""dist_end_idx"": 51}","{""time_start_idx"": 760, ""time_end_idx"": 883, ""dist_start_idx"": 38, ""dist_end_idx"": 51}",0.4837062228508899,0.4769450559172353,0.9860221625973606,9.747391004700669,9.687110785206023,0.9938157585485619,1.6385828722336336e-05,1.00700751515151,1.0026673907388244,"[""target_band_fidelity is very low""]","""zero-time/effective signal energy nearly disappeared""","""only_dewow_auto_tuned_step_03_frequency_filter_1d_roi_overlay.png""","""only_dewow_auto_tuned_step_03_frequency_filter_1d_roi_overlay.png""","""only_dewow_auto_tuned_step_03_frequency_filter_1d_roi_crop.png"""
